item_id,date_id,wday,cashback,sell_price,day,month,year,event_type_1_Cultural,event_type_1_National,event_type_1_NoEvent,event_type_1_Religious,event_type_1_Sporting,event_type_2_Cultural,event_type_2_NoEvent,event_type_2_Religious,target
339,605,3,0,0.78,24,9,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
339,606,4,0,0.78,25,9,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6
339,607,5,0,0.78,26,9,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
339,608,6,0,0.78,27,9,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6
339,609,7,0,0.78,28,9,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10
339,610,1,0,0.78,29,9,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10
339,611,2,0,0.78,30,9,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9
339,612,3,0,0.78,1,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
339,613,4,1,0.78,2,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
339,614,5,1,0.78,3,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5
339,615,6,0,0.78,4,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3
339,616,7,1,0.78,5,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2
339,617,1,1,0.78,6,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4
339,618,2,0,0.78,7,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4
339,619,3,1,0.78,8,10,2012,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
339,620,4,1,0.78,9,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3
339,621,5,0,0.78,10,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4
339,622,6,1,0.78,11,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2
339,623,7,1,0.78,12,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2
339,624,1,0,0.78,13,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6
339,625,2,1,0.78,14,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7
339,626,3,1,0.78,15,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
339,627,4,0,0.78,16,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8
339,628,5,0,0.78,17,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
339,629,6,0,0.78,18,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4
339,630,7,0,0.78,19,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5
339,631,1,0,0.78,20,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8
339,632,2,0,0.78,21,10,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6
