item_id,date_id,wday,cashback,sell_price,day,month,year,event_type_1_Cultural,event_type_1_National,event_type_1_NoEvent,event_type_1_Religious,event_type_1_Sporting,event_type_2_Cultural,event_type_2_NoEvent,event_type_2_Religious,target
065,695,2,0,3.28,23,12,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
065,696,3,0,3.28,24,12,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
065,697,4,0,3.28,25,12,2012,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
065,698,5,0,3.28,26,12,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
065,699,6,0,3.28,27,12,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
065,700,7,0,3.28,28,12,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5079365079365079
065,701,1,0,3.28,29,12,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.25196850393700787
065,702,2,0,3.28,30,12,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.12549019607843137
065,703,3,0,3.28,31,12,2012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06262230919765166
065,704,4,0,3.28,1,1,2013,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03128054740957967
065,705,5,1,3.28,2,1,2013,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.015632633121641426
065,706,6,1,3.28,3,1,2013,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.007814407814407814
065,707,7,0,3.28,4,1,2013,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.00390672689537297
065,708,1,1,3.28,5,1,2013,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0019532442165659525
065,709,2,1,3.28,6,1,2013,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0009765923032319102
